energy,heating,price,area,rooms,fee,zipcode,construction_year,price_per_area,heating_raw,house_age,rooms_per_area,heating_clean_fußbodenheizung,heating_clean_minergie,heating_clean_missing,heating_clean_other,heating_clean_wärmepumpe,heating_clean_zentralheizung,energy_clean_gas,energy_clean_missing,energy_clean_other,energy_clean_öl,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_17,level_21,level_23,level_24,level_2023,log_price,log_area,log_fee,age_bin,rooms_per_area_bin,zipcode_freq
Öl,Fußbodenheizung,220000,96.0,4,3.57,13439,1956,2291.6666666666665,Fußbodenheizung,69,0.041666666666666664,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.301387370778713,4.574710978503383,1.5195132049061133,very_old,3,0.00046253469010175765
na,na,270000,68.0,3,3.57,12159,1956,3970.5882352941176,na,69,0.04411764705882353,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.506180941677357,4.23410650459726,1.5195132049061133,very_old,3,0.009019426456984274
na,na,467000,66.0,3,3.57,10777,1956,7075.757575757576,na,69,0.045454545454545456,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.054086677976365,4.204692619390966,1.5195132049061133,very_old,3,0.009481961147086031
na,na,459000,90.0,3,3.57,12683,1956,5100.0,na,69,0.03333333333333333,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.036807667689546,4.51085950651685,1.5195132049061133,very_old,1,0.0018501387604070306
Gas,Zentralheizung,458000,76.58,3,3.57,12105,1973,5980.673805171063,Zentralheizung,52,0.039174719247845394,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.034626646500051,4.351309662011821,1.5195132049061133,very_old,2,0.00786308973172988
Gas,Zentralheizung,448000,76.58,3,3.57,12105,1973,5850.091407678245,Zentralheizung,52,0.039174719247845394,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.012550743537489,4.351309662011821,1.5195132049061133,very_old,2,0.00786308973172988
Gas,Zentralheizung,275000,43.43,1,3.57,12105,1973,6332.028551692379,Zentralheizung,52,0.023025558369790467,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.524530013005734,3.7939149169478172,1.5195132049061133,very_old,0,0.00786308973172988
Gas,Zentralheizung,345000,56.76,2,3.57,12105,1994,6078.224101479916,Zentralheizung,31,0.035236081747709654,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.75130259456002,4.05629649458457,1.5195132049061133,old,2,0.00786308973172988
Gas,Zentralheizung,1439000,129.17,3,3.57,10245,1900,11140.357668189208,Zentralheizung,125,0.0232252070914299,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.179459680796295,4.868841288478369,1.5195132049061133,,0,0.022201665124884366
Gas,Zentralheizung,2499000,201.85,4,3.57,10245,1900,12380.480554867476,Zentralheizung,125,0.019816695566014366,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.731401609977073,5.312466789652456,1.5195132049061133,,0,0.022201665124884366
Gas,Zentralheizung,439000,57.13,2,3.57,10245,1900,7684.22895151409,Zentralheizung,125,0.03500787677227376,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.992256969959042,4.062681881713259,1.5195132049061133,,2,0.022201665124884366
Gas,Zentralheizung,499000,51.41,2,3.57,10245,1900,9706.282824353239,Zentralheizung,125,0.03890293717175647,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.120363378739663,3.959097412814075,1.5195132049061133,,2,0.022201665124884366
Fernwärme,Fußbodenheizung,880040,62.86,2,3.57,10997,2022,14000.0,Fußbodenheizung,3,0.03181673560292714,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.687723776278158,4.156693187286636,1.5195132049061133,new,1,0.0074005550416281225
